;;;;;;;;;;;;;;;;;;;;
PNAD Covid;;;;;;;;;;;;;;;;;;;;
Periodicidade da divulgação: Mensal;;;;;;;;;;;;;;;;;;;;
Nota:os indicadores de mercado de trabalho são para as pessoas de 14 anos ou mais de idade e tem como referência a semana anterior a entrevista;;;;;;;;;;;;;;;;;;;;
Nota 1: Inclusive pessoas de cor amarela ou indígena.;;;;;;;;;;;;;;;;;;;;
Indicador;Nível Territorial;Abertura Territorial;Variável de abertura 1;Categoria de abertura 1;Variável de abertura 2;Categoria de abertura 2;Maio;Junho;Situação Maio para Julho;Julho;Situação Junho para Julho;Agosto;Situação Julho para Agosto;Setembro;Situação Agosto para Setembro;Outubro;Situação Setembro para Outubro;Novembro;Situação Outubro para Novembro;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Sexo;Mulher;-;-;1,2;1,1;-;1,0;-;1,0;-;1,1;-;1,1;-;1,1;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Cor ou raça;Total1;-;-;1,1;1,0;-;0,9;-;1,0;-;1,0;-;1,0;-;1,0;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Cor ou raça;Branca;-;-;1,9;1,7;-;1,7;-;1,6;-;1,7;-;1,8;-;1,9;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Cor ou raça;Preta ou parda;-;-;1,2;1,1;-;1,0;-;1,0;-;1,1;-;1,1;-;1,1;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Grupos de idade;Total;-;-;1,1;1,0;-;0,9;-;1,0;-;1,0;-;1,0;-;1,0;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Grupos de idade;14 a 29 anos;-;-;1,2;1,1;-;1,0;-;1,0;-;1,1;-;1,1;-;1,2;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Grupos de idade;30 a 49 anos;-;-;1,5;1,4;-;1,3;-;1,3;-;1,3;-;1,4;-;1,4;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Grupos de idade;50 a 59 anos;-;-;2,7;2,5;-;2,3;-;2,3;-;2,3;-;2,4;-;2,4;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Grupos de idade;60 anos ou mais;-;-;4,6;4,4;-;4,3;-;4,5;-;4,7;-;4,6;-;4,8;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Nível de instrução;Total;-;-;1,1;1,0;-;0,9;-;1,0;-;1,0;-;1,0;-;1,0;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;1,7;1,5;-;1,4;-;1,5;-;1,5;-;1,4;-;1,5;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Nível de instrução;Fundamental completo ao médio incompleto;-;-;1,7;1,6;-;1,4;-;1,5;-;1,5;-;1,6;-;1,6;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Nível de instrução;Médio completo ao superior incompleto;-;-;1,4;1,3;-;1,2;-;1,2;-;1,3;-;1,3;-;1,3;-;
CV - Percentual de pessoas desocupadas ou não ocupadas que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas que gostariam de trabalhar, no total de pessoas na força de trabalho ou que não procuraram trabalho por conta da pandemia ou por falta de trabalho na localidade, mas gostariam de trabalhar (%);Grande Região;Nordeste;Nível de instrução;Superior completo ou pós-graduação;-;-;3,8;3,6;-;3,8;-;3,9;-;3,8;-;4,0;-;4,1;-;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Sexo;Total;-;-;  5 726 ;  4 489 ; Queda ;  2 666 ; Queda ;  1 708 ; Queda ;  1 325 ; Queda ;  1 184 ; Queda ;  1 170 ; Estável ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Sexo;Homem;-;-;  2 832 ;  2 154 ; - ;  1 225 ; - ;   793 ; - ;   590 ; - ;   513 ; - ;   522 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Sexo;Mulher;-;-;  2 893 ;  2 336 ; - ;  1 441 ; - ;   915 ; - ;   735 ; - ;   670 ; - ;   648 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Cor ou raça;Total1;-;-;  5 726 ;  4 489 ; - ;  2 666 ; - ;  1 708 ; - ;  1 325 ; - ;  1 184 ; - ;  1 170 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Cor ou raça;Branca;-;-;  1 419 ;  1 105 ; - ;   661 ; - ;   399 ; - ;   331 ; - ;   295 ; - ;   285 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Cor ou raça;Preta ou parda;-;-;  4 238 ;  3 335 ; - ;  1 967 ; - ;  1 288 ; - ;   980 ; - ;   870 ; - ;   873 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Grupos de idade;Total;-;-;  5 726 ;  4 489 ; - ;  2 666 ; - ;  1 708 ; - ;  1 325 ; - ;  1 184 ; - ;  1 170 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Grupos de idade;14 a 29 anos;-;-;  1 491 ;  1 121 ; - ;   607 ; - ;   337 ; - ;   249 ; - ;   221 ; - ;   220 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Grupos de idade;30 a 49 anos;-;-;  2 942 ;  2 288 ; - ;  1 356 ; - ;   880 ; - ;   662 ; - ;   596 ; - ;   573 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Grupos de idade;50 a 59 anos;-;-;   921 ;   747 ; - ;   469 ; - ;   313 ; - ;   266 ; - ;   241 ; - ;   235 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Grupos de idade;60 anos ou mais;-;-;   372 ;   333 ; - ;   233 ; - ;   178 ; - ;   148 ; - ;   126 ; - ;   142 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Nível de instrução;Total;-;-;  5 726 ;  4 489 ; - ;  2 666 ; - ;  1 708 ; - ;  1 325 ; - ;  1 184 ; - ;  1 170 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;  1 279 ;  1 004 ; - ;   558 ; - ;   365 ; - ;   278 ; - ;   240 ; - ;   231 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Nível de instrução;Fundamental completo ao médio incompleto;-;-;   926 ;   669 ; - ;   370 ; - ;   205 ; - ;   157 ; - ;   145 ; - ;   159 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Nível de instrução;Médio completo ao superior incompleto;-;-;  2 488 ;  1 963 ; - ;  1 112 ; - ;   706 ; - ;   555 ; - ;   478 ; - ;   478 ; - ;
Pessoas ocupadas e afastadas (mil pessoas);Grande Região;Nordeste;Nível de instrução;Superior completo ou pós-graduação;-;-;  1 033 ;   854 ; - ;   625 ; - ;   432 ; - ;   335 ; - ;   321 ; - ;   302 ; - ;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Sexo;Total;-;-;1,4;1,5;-;1,9;-;2,3;-;2,5;-;2,8;-;2,8;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Sexo;Homem;-;-;1,9;2,0;-;2,7;-;3,3;-;3,6;-;4,1;-;4,1;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Sexo;Mulher;-;-;1,7;1,9;-;2,4;-;2,9;-;3,2;-;3,5;-;3,5;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Cor ou raça;Total1;-;-;1,4;1,5;-;1,9;-;2,3;-;2,5;-;2,8;-;2,8;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Cor ou raça;Branca;-;-;2,9;3,1;-;3,7;-;4,3;-;4,6;-;5,1;-;5,1;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Cor ou raça;Preta ou parda;-;-;1,7;1,7;-;2,3;-;2,7;-;2,9;-;3,2;-;3,3;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Grupos de idade;Total;-;-;1,4;1,5;-;1,9;-;2,3;-;2,5;-;2,8;-;2,8;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Grupos de idade;14 a 29 anos;-;-;2,6;3,1;-;4,3;-;5,3;-;5,8;-;6,5;-;6,6;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Grupos de idade;30 a 49 anos;-;-;1,8;1,9;-;2,5;-;3,1;-;3,5;-;3,8;-;3,9;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Grupos de idade;50 a 59 anos;-;-;2,7;2,9;-;3,8;-;4,7;-;5,1;-;5,7;-;5,6;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Grupos de idade;60 anos ou mais;-;-;4,3;4,5;-;5,1;-;6,0;-;6,6;-;7,3;-;7,3;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Nível de instrução;Total;-;-;1,4;1,5;-;1,9;-;2,3;-;2,5;-;2,8;-;2,8;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;3,2;3,2;-;4,1;-;4,7;-;5,3;-;5,7;-;6,1;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Nível de instrução;Fundamental completo ao médio incompleto;-;-;3,3;3,7;-;4,7;-;6,0;-;6,7;-;7,5;-;7,4;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Nível de instrução;Médio completo ao superior incompleto;-;-;2,1;2,3;-;3,0;-;3,5;-;3,7;-;4,3;-;4,2;-;
CV - Pessoas ocupadas e afastadas (%);Grande Região;Nordeste;Nível de instrução;Superior completo ou pós-graduação;-;-;3,1;3,5;-;4,1;-;4,5;-;5,0;-;5,3;-;5,6;-;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Total;-;-;  18 830 ;  18 591 ; Queda ;  17 948 ; Queda ;  18 038 ; Estável ;  18 279 ; Aumento ;  18 591 ; Aumento ;  18 788 ; Aumento ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor privado com carteira assinada;-;-;  5 150 ;  5 126 ; Estável ;  5 150 ; Estável ;  5 094 ; Estável ;  5 125 ; Estável ;  5 238 ; Aumento ;  5 282 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor privado sem carteira assinada;-;-;  2 348 ;  2 440 ; Aumento ;  2 390 ; Estável ;  2 489 ; Aumento ;  2 579 ; Aumento ;  2 647 ; Estável ;  2 712 ; Aumento ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Trabalhador doméstico com carteira assinada;-;-;   199 ;   208 ; Estável ;   211 ; Estável ;   211 ; Estável ;   201 ; Estável ;   205 ; Estável ;   205 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Trabalhador doméstico sem carteira assinada;-;-;   869 ;   793 ; Queda ;   711 ; Queda ;   696 ; Estável ;   707 ; Estável ;   722 ; Estável ;   738 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor público com carteira assinada;-;-;   581 ;   519 ; Queda ;   456 ; Queda ;   431 ; Queda ;   427 ; Estável ;   428 ; Estável ;   437 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor público sem carteira assinada;-;-;   853 ;   854 ; Estável ;   841 ; Estável ;   862 ; Estável ;   875 ; Estável ;   882 ; Estável ;   885 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Militar e servidor estatutário;-;-;  1 927 ;  1 951 ; Estável ;  2 014 ; Aumento ;  2 013 ; Estável ;  2 002 ; Estável ;  2 016 ; Estável ;  2 015 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregador;-;-;   410 ;   398 ; Estável ;   398 ; Estável ;   392 ; Estável ;   403 ; Estável ;   388 ; Estável ;   396 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Conta-própria;-;-;  6 144 ;  5 956 ; Queda ;  5 408 ; Queda ;  5 485 ; Estável ;  5 588 ; Aumento ;  5 699 ; Aumento ;  5 741 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Trabalhador familiar auxiliar;-;-;   348 ;   345 ; Estável ;   369 ; Estável ;   367 ; Estável ;   371 ; Estável ;   366 ; Estável ;   377 ; Estável ;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Total;-;-;0,6;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor privado com carteira assinada;-;-;1,7;1,6;-;1,6;-;1,6;-;1,6;-;1,6;-;1,6;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor privado sem carteira assinada;-;-;2,2;2,1;-;2,1;-;2,0;-;2,0;-;2,0;-;2,0;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Trabalhador doméstico com carteira assinada;-;-;6,7;6,5;-;6,4;-;6,5;-;6,6;-;6,6;-;6,4;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Trabalhador doméstico sem carteira assinada;-;-;3,2;3,1;-;3,4;-;3,4;-;3,4;-;3,4;-;3,4;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor público com carteira assinada;-;-;4,6;4,6;-;4,8;-;4,9;-;5,0;-;5,2;-;5,2;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor público sem carteira assinada;-;-;3,5;3,2;-;3,3;-;3,4;-;3,3;-;3,4;-;3,3;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Militar e servidor estatutário;-;-;2,4;2,3;-;2,3;-;2,3;-;2,3;-;2,3;-;2,3;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregador;-;-;5,5;5,2;-;6,0;-;5,8;-;5,8;-;5,7;-;5,6;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Conta-própria;-;-;1,3;1,3;-;1,4;-;1,3;-;1,2;-;1,3;-;1,3;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Trabalhador familiar auxiliar;-;-;6,6;6,0;-;6,2;-;6,1;-;6,1;-;6,0;-;5,8;-;
Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Total;-;-;100,0;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Queda;
Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor privado com carteira assinada;-;-;27,4;27,6;Estável;28,7;Aumento;28,2;Queda;28,0;Estável;28,2;Estável;28,1;Estável;
Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor privado sem carteira assinada;-;-;12,5;13,1;Aumento;13,3;Estável;13,8;Aumento;14,1;Estável;14,2;Estável;14,4;Estável;
Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Trabalhador doméstico com carteira assinada;-;-;1,1;1,1;Estável;1,2;Estável;1,2;Estável;1,1;Estável;1,1;Estável;1,1;Estável;
Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Trabalhador doméstico sem carteira assinada;-;-;4,6;4,3;Queda;4,0;Queda;3,9;Estável;3,9;Estável;3,9;Estável;3,9;Estável;
Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor público com carteira assinada;-;-;3,1;2,8;Queda;2,5;Queda;2,4;Queda;2,3;Estável;2,3;Estável;2,3;Estável;
Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor público sem carteira assinada;-;-;4,5;4,6;Estável;4,7;Estável;4,8;Estável;4,8;Estável;4,7;Estável;4,7;Estável;
Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Militar e servidor estatutário;-;-;10,2;10,5;Estável;11,2;Aumento;11,2;Estável;11,0;Queda;10,8;Estável;10,7;Estável;
Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregador;-;-;2,2;2,1;Estável;2,2;Estável;2,2;Estável;2,2;Estável;2,1;Estável;2,1;Estável;
Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Conta-própria;-;-;32,6;32,0;Queda;30,1;Queda;30,4;Estável;30,6;Estável;30,7;Estável;30,6;Estável;
Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Trabalhador familiar auxiliar;-;-;1,8;1,9;Estável;2,1;Aumento;2,0;Estável;2,0;Estável;2,0;Estável;2,0;Estável;
CV - Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor privado com carteira assinada;-;-;1,5;1,5;-;1,5;-;1,5;-;1,4;-;1,4;-;1,5;-;
CV - Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor privado sem carteira assinada;-;-;2,2;2,0;-;2,0;-;2,0;-;1,9;-;2,0;-;1,9;-;
CV - Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Trabalhador doméstico com carteira assinada;-;-;6,7;6,4;-;6,4;-;6,5;-;6,5;-;6,5;-;6,4;-;
CV - Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Trabalhador doméstico sem carteira assinada;-;-;3,2;3,1;-;3,5;-;3,5;-;3,5;-;3,4;-;3,4;-;
CV - Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor público com carteira assinada;-;-;4,5;4,5;-;4,8;-;4,9;-;4,9;-;5,2;-;5,1;-;
CV - Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregado do setor público sem carteira assinada;-;-;3,5;3,2;-;3,3;-;3,3;-;3,2;-;3,3;-;3,3;-;
CV - Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Militar e servidor estatutário;-;-;2,3;2,2;-;2,2;-;2,2;-;2,2;-;2,2;-;2,2;-;
CV - Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Empregador;-;-;5,4;5,2;-;5,9;-;5,7;-;5,7;-;5,6;-;5,6;-;
CV - Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Conta-própria;-;-;1,1;1,1;-;1,2;-;1,2;-;1,1;-;1,1;-;1,1;-;
CV - Distribuição das pessoas ocupadas (%);Grande Região;Nordeste;Posição na ocupação e categoria do emprego;Trabalhador familiar auxiliar;-;-;6,5;5,9;-;6,1;-;6,0;-;6,0;-;5,9;-;5,8;-;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Grupamentos ocupacionais;Total;-;-;  18 830 ;  18 591 ; Queda ;  17 948 ; Queda ;  18 038 ; Estável ;  18 279 ; Aumento ;  18 591 ; Aumento ;  18 788 ; Aumento ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Grupamentos ocupacionais;Diretores e gerentes;-;-;   428 ;   444 ; Estável ;   457 ; Estável ;   449 ; Estável ;   463 ; Estável ;   461 ; Estável ;   460 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Grupamentos ocupacionais;Profissionais das ciências e intelectuais;-;-;  2 163 ;  2 127 ; Estável ;  2 087 ; Estável ;  2 134 ; Estável ;  2 128 ; Estável ;  2 177 ; Aumento ;  2 188 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Grupamentos ocupacionais;Técnicos e profissionais de nível médio;-;-;   985 ;   965 ; Estável ;  1 066 ; Aumento ;  1 058 ; Estável ;  1 046 ; Estável ;  1 081 ; Estável ;  1 077 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Grupamentos ocupacionais;Trabalhadores de apoio administrativo;-;-;  1 136 ;  1 126 ; Estável ;  1 185 ; Aumento ;  1 219 ; Estável ;  1 252 ; Estável ;  1 273 ; Estável ;  1 303 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Grupamentos ocupacionais;Trabalhadores dos serviços, vendedores dos comércios e mercados;-;-;  3 335 ;  3 287 ; Estável ;  3 136 ; Queda ;  3 250 ; Aumento ;  3 351 ; Aumento ;  3 442 ; Aumento ;  3 544 ; Aumento ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Grupamentos ocupacionais;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca;-;-;  1 860 ;  1 709 ; Queda ;  1 622 ; Queda ;  1 505 ; Queda ;  1 512 ; Estável ;  1 490 ; Estável ;  1 477 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Grupamentos ocupacionais;Trabalhadores qualificados, operários e artesãos da construção, das artes mecânicas e outros ofícios;-;-;  2 313 ;  2 327 ; Estável ;  2 359 ; Estável ;  2 431 ; Aumento ;  2 478 ; Estável ;  2 546 ; Aumento ;  2 603 ; Aumento ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Grupamentos ocupacionais;Operadores de instalações e máquinas e montadores;-;-;  1 282 ;  1 294 ; Estável ;  1 266 ; Estável ;  1 305 ; Estável ;  1 327 ; Estável ;  1 354 ; Estável ;  1 359 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Grupamentos ocupacionais;Ocupações elementares;-;-;  2 910 ;  2 955 ; Estável ;  2 823 ; Queda ;  2 890 ; Estável ;  2 916 ; Estável ;  3 009 ; Aumento ;  3 026 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Grupamentos ocupacionais;Membros das forças armadas, policiais e bombeiros militares;-;-;   140 ;   158 ; Aumento ;   165 ; Estável ;   144 ; Queda ;   161 ; Aumento ;   158 ; Estável ;   155 ; Estável ;
Pessoas ocupadas (mil pessoas);Grande Região;Nordeste;Grupamentos ocupacionais;Outras;-;-;  2 277 ;  2 200 ; Queda ;  1 781 ; Queda ;  1 652 ; Queda ;  1 644 ; Estável ;  1 599 ; Estável ;  1 595 ; Estável ;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Grupamentos ocupacionais;Total;-;-;0,6;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Grupamentos ocupacionais;Diretores e gerentes;-;-;5,0;4,9;-;5,0;-;5,0;-;4,9;-;4,9;-;4,9;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Grupamentos ocupacionais;Profissionais das ciências e intelectuais;-;-;2,9;2,9;-;2,9;-;2,9;-;2,9;-;2,8;-;2,8;-;
CV - Pessoas ocupadas (%);Grande Região;Nordeste;Grupamentos ocupacionais;Técnicos e profissionais de nível médio;-;-;3,2;3,2;-;3,1;-;3,2;-;3,1;-;3,2;-;3,1;-;
